,Brand Name,ProductName,Price,Expected_Delivery,Product_URL
0,Blueberry,"Blueberry B-D38 38"" Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Blue)","9,999","Monday, August 1",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A07899661WB72SBT2KC0V&url=%2FBlueberry-B-D38-Acoustic-Inbuilt-Strings%2Fdp%2FB07PHYZZP1%2Fref%3Dsr_1_97_sspa%3Fcrid%3D3QSC21Z4WT1KK%26keywords%3Dguitar%26qid%3D1658814139%26sprefix%3Dguitar%252Caps%252C475%26sr%3D8-97-spons%26psc%3D1&qualifier=1658814139&id=4265648412612096&widgetName=sp_atf_next
1,Festra,"Festra R-40- Trussrod Acoustic Guitar Kit with Bag, Strap, One Pack Strings and Picks (Classic Brown)","2,655","Monday, August 1",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0429787287057VPF1VV5&url=%2FFestra-Trussrod-Acoustic-Strings-Classic%2Fdp%2FB09VLF711S%2Fref%3Dsr_1_98_sspa%3Fcrid%3D3QSC21Z4WT1KK%26keywords%3Dguitar%26qid%3D1658814139%26sprefix%3Dguitar%252Caps%252C475%26sr%3D8-98-spons%26psc%3D1&qualifier=1658814139&id=4265648412612096&widgetName=sp_atf_next
2,Samara,"Samara SA39 CS 39"" Cutaway Acoustic Guitar","4,595","Sunday, July 31",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A10121501OG1U0YWND0DD&url=%2FSamara-SA39-Cutaway-Acoustic-Guitar%2Fdp%2FB09DT11M1N%2Fref%3Dsr_1_99_sspa%3Fcrid%3D3QSC21Z4WT1KK%26keywords%3Dguitar%26qid%3D1658814139%26sprefix%3Dguitar%252Caps%252C475%26sr%3D8-99-spons%26psc%3D1&qualifier=1658814139&id=4265648412612096&widgetName=sp_atf_next
3,GUITAR,"GUITAR BRO - COMBO (Blue Acoustic Guitar for Beginner, Guitar Learning Kit, Song Book, Video Lectures, Accessories like Pick, Bag)","5,400","Saturday, July 30",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A08791823J4GRMJMKDFMU&url=%2FGUITAR-BRO-Acoustic-Beginner-Accessories%2Fdp%2FB07TC7TWCR%2Fref%3Dsr_1_100_sspa%3Fcrid%3D3QSC21Z4WT1KK%26keywords%3Dguitar%26qid%3D1658814139%26sprefix%3Dguitar%252Caps%252C475%26sr%3D8-100-spons%26psc%3D1&qualifier=1658814139&id=4265648412612096&widgetName=sp_atf_next
4,Juarez,"Juarez Acoustic Guitar, [ LEFT HANDED] 38 Inch Cutaway, 38CL/BK with Bag, Strings, Pick and Strap, Black","6,499","Wednesday, August 3",https://www.amazon.in/Juarez-Acoustic-Cutaway-BK-Strings/dp/B076T3RHMG/ref=sr_1_101?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-101
5,Revel,Revel 38 Inches Cutaway Design Acoustic Guitar with Carry bag and Plectrums. Great tone and Beginner/Learners standard size configuration for all age groups (Red),"2,639","Monday, August 1",https://www.amazon.in/Acoustic-Plectrums-Beginner-Learners-configuration/dp/B09W5V91LW/ref=sr_1_102?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-102
6,Revel,Revel 38 Inches Cutaway Design Acoustic Guitar with Carry bag and Plectrums. Great tone and Beginner/Learners standard size configuration for all age groups (White),"2,781","Tuesday, August 2",https://www.amazon.in/Acoustic-Plectrums-Beginner-Learners-configuration/dp/B09W5TQD6G/ref=sr_1_103?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-103
7,INTERN,"INTERN Cutaway Design Acoustic Guitar Pack -Humidity Proof, Bend resistant, Durable Action, Natural tone & resonance. Natural Carbon Fibre/Fiber Guitar with Bag, Strap, Strings set & Plectrums.","2,781","Tuesday, August 2",https://www.amazon.in/Kadence-6-strings-Acoustic-Guitar-Natural/dp/B07JKYWGJN/ref=sxin_13_sbv_search_btf?content-id=amzn1.sym.d1a868b7-34f0-4e56-8c87-831669133eac%3Aamzn1.sym.d1a868b7-34f0-4e56-8c87-831669133eac&crid=3QSC21Z4WT1KK&cv_ct_cx=guitar&keywords=guitar&pd_rd_i=B07JKYWGJN&pd_rd_r=d65c94f6-dcb5-4c6e-b280-f0763e9500a8&pd_rd_w=8gNwa&pd_rd_wg=xIuk1&pf_rd_p=d1a868b7-34f0-4e56-8c87-831669133eac&pf_rd_r=69CTYHDH48FZ8JJ2KSSV&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=1-97-69854b2b-eed5-48c0-8a3b-ed25f92e9cd8
8,Kadence,"Kadence Frontier Series,Black Acoustic Guitar With Die Cast Keys Super Combo (Tuner, Capo, Bag, strap, strings and 3 picks)","6,630","Monday, August 1",https://www.amazon.in/Acoustic-Humidity-resistant-resonance-Plectrums/dp/B09RQZG25Q/ref=sr_1_104?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-104
9,INTERN,"INTERN 40 inches Acoustic Guitar with Pick-up & truss rod, carry bag, strings pack, strap & picks. Premium Wooden durable built, Best tonal stability with professional sound amplificaiton. (Blue).","2,589","Monday, August 1",https://www.amazon.in/Kadence-Frontier-Acoustic-Foldable-Strings/dp/B01CJJG882/ref=sr_1_105?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-105
10,Ketostics®,"Ketostics® Givson Venus Super Special semi electric Guitar Combo (BLACK) Acoustic Guitar With Cover/Bag, Rhythm String Set, Strap and 5 Plectrums","6,299","Monday, August 1",https://www.amazon.in/Acoustic-Pick-up-stability-professional-amplificaiton/dp/B09YH89JZQ/ref=sr_1_106?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-106
11,Fender,Fender CD60s Dreadnought Acoustic Guitar (Mahagony),"4,499","Tuesday, August 2",https://www.amazon.in/Ketostics%C2%AE-Special-electric-Acoustic-Plectrums/dp/B09P4ZGKG9/ref=sr_1_107?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-107
12,Festra,"Festra R-40- Trussrod Acoustic Guitar Kit with Bag, Strap, One Pack Strings and Picks (Sunburst)","4,299","Sunday, July 31",https://www.amazon.in/Fender-961702021-Dreadnought-Acoustic-Multicolor/dp/B01N4RWSX1/ref=sr_1_108?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-108
13,Fender,Fender 0961701006 CD60S Dreadnought Acoustic Guitar Blk,"17,220","Thursday, August 4",https://www.amazon.in/Festra-Trussrod-Acoustic-Strings-Sunburst/dp/B09VLCLVNN/ref=sr_1_109?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-109
14,Cort,"Cort AD810-OP Acoustic Guitar, Brown With Padded Bag, Belt, Plectrums & Guitar Tuner Complete Pack","4,295","Monday, August 1",https://www.amazon.in/Fender-961701006-Dreadnought-Acoustic-Guitar/dp/B01N150KHV/ref=sr_1_110?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-110
15,Kadence,"Kadence Guitar Acoustica Series, 41” Jumbo Size 6-strings Acoustic Guitar, Spruce body with Pick Guard A311 with bag","18,999","Tuesday, August 2",https://www.amazon.in/Cort-CAP810-OP-Acoustic-Plectrums-Complete/dp/B08D7SWGG5/ref=sr_1_111?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-111
16,JUAREZ,"JUAREZ Arpeggio 41 Inch Acoustic Guitar Kit, Spruce Top, Rosewood Fretboard & Bridge, Truss Rod, Chrome Die Cast Machine Tuners, Natural","10,920","Monday, August 1",https://www.amazon.in/Kadence-6-strings-Acoustic-Guitar-Natural/dp/B07JKYWGJN/ref=sr_1_112?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-112
17,Yamaha,Yamaha FSX80C Semi Acoustic Cutaway Guitar with Bag (Black),"6,630","Monday, August 1",https://www.amazon.in/JUAREZ-Arpeggio-Acoustic-Rosewood-Fretboard/dp/B08LBGLRFC/ref=sr_1_113?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-113
18,Kadence,"Kadence Frontier Jumbo Semi Acoustic Guitar With Die Cast Keys Super Combo (Bag, 1 pack Strings, Strap, Picks, Capo, Tuner (natural)","6,039","Tuesday, August 2",https://www.amazon.in/Yamaha-FSX80C-Acoustic-Cutaway-Guitar/dp/B09HL5WFDX/ref=sr_1_114?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-114
19,Fender,"Fender Acoustic Guitar SA135C Cutaway Right Handed With Sponge Bag, Belt & Plectrums Combo Pack (NT)","12,790","Thursday, July 28",https://www.amazon.in/Kadence-Frontier-Acoustic-Equalizer-Strings/dp/B01HRIHH9E/ref=sr_1_115?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-115
20,Blueberry,"Blueberry R-40, Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Redburst)","7,348","Saturday, July 30",https://www.amazon.in/Fender-Acoustic-Guitar-Cutaway-Plectrums/dp/B092FT4SX6/ref=sr_1_116?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-116
21,Blueberry,"Blueberry B40, 40 Inch Acoustic Guitar Kit inbuilt Truss Rod, with Bag, Strap, One Pack Strings and Picks (Natural)","9,499","Monday, August 1",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A05878491XHM1UJUP8RW3&url=%2FBlueberry-R-40-Acoustic-Inbuilt-Redburst%2Fdp%2FB09YDH39TB%2Fref%3Dsr_1_117_sspa%3Fcrid%3D3QSC21Z4WT1KK%26keywords%3Dguitar%26qid%3D1658814139%26sprefix%3Dguitar%252Caps%252C475%26sr%3D8-117-spons%26psc%3D1&qualifier=1658814139&id=4265648412612096&widgetName=sp_mtf
22,Kadence,"Kadence Guitar Acoustica Series, 41” Jumbo Size 6-strings Acoustic Guitar, Spruce body with Pick Guard A311 with bag","4,295","Tuesday, August 2",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A00566173MX81F6WKVDO9&url=%2FBlueberry-Acoustic-inbuilt-Strings-Natural%2Fdp%2FB07PLK46LR%2Fref%3Dsr_1_118_sspa%3Fcrid%3D3QSC21Z4WT1KK%26keywords%3Dguitar%26qid%3D1658814139%26sprefix%3Dguitar%252Caps%252C475%26sr%3D8-118-spons%26psc%3D1&qualifier=1658814139&id=4265648412612096&widgetName=sp_mtf
23,Blueberry,"Blueberry D38 Trussrod Acoustic Guitar Kit with Bag,Belt, String set & Picks inbuilt (Blue)","4,295","Monday, August 1",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A02055132SF64AM9MYQQ8&url=%2FKadence-6-strings-Acoustic-Guitar-Natural%2Fdp%2FB07JKYWGJN%2Fref%3Dsr_1_119_sspa%3Fcrid%3D3QSC21Z4WT1KK%26keywords%3Dguitar%26qid%3D1658814139%26sprefix%3Dguitar%252Caps%252C475%26sr%3D8-119-spons%26psc%3D1%26smid%3DAM04Z7MH4HSDD&qualifier=1658814139&id=4265648412612096&widgetName=sp_mtf
24,INTERN,"INTERN 40 inches Acoustic Guitar with Pick-up & truss rod, carry bag, strings pack, strap & picks. Premium Wooden durable built, Best tonal stability with professional sound amplificaiton. (Natural).","6,630","Monday, August 1",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A00516253B233U4XIDVQM&url=%2FBlueberry-Acoustic-Guitar-inbuilt-Truss-rod%2Fdp%2FB08T8HW3K7%2Fref%3Dsr_1_120_sspa%3Fcrid%3D3QSC21Z4WT1KK%26keywords%3Dguitar%26qid%3D1658814139%26sprefix%3Dguitar%252Caps%252C475%26sr%3D8-120-spons%26psc%3D1&qualifier=1658814139&id=4265648412612096&widgetName=sp_mtf
25,ARCTIC,"ARCTIC Sky series 39"" Guitar (with Truss Rod) with Bag, 3 Picks, Strap & String Set. Standard Pack Red","2,895","Monday, August 1",https://www.amazon.in/Acoustic-Pick-up-stability-professional-amplificaiton/dp/B09YH8YQR1/ref=sr_1_121?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-121
26,INTERN,"INTERN Cutaway Design Acoustic Guitar Pack -Humidity Proof, Bend resistance, Durable Action, Natural tone & bright resonance. Black Carbon Fibre/Fiber Guitar with Bag, Strap, Strings set & Plectrums.","4,499","Monday, August 1",https://www.amazon.in/ARCTIC-Guitar-Truss-String-Standard/dp/B08F43XYM9/ref=sr_1_122?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-122
