,Brand Name,ProductName,Price,Expected_Delivery,Product_URL
27,Juarez,"Juarez Acoustic Guitar, [LEFT HANDED] 96.52 cm (38 Inch) Cutaway, 38CL/3TS with Bag, Strings, Pick and Strap, 3TS Sunburst","4,974","Tuesday, August 2",https://www.amazon.in/Acoustic-Humidity-resistance-resonance-Plectrums/dp/B09RQZ6HM2/ref=sr_1_123?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-123
28,Juarez,"Juarez Arpéggio 104.14 cm (41 Inch) Semi-Acoustic Guitar Kit, Thin Line Body, Spruce Top, with 4 Band EQ, High Gloss Black","2,589","Monday, August 1",https://www.amazon.in/Acoustic-Cutaway-3TS-Strings-Sunburst/dp/B098BD1MHM/ref=sr_1_124?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-124
29,INTERN,"INTERN 41 inches Cutaway Shape Acoustic Guitar with truss rod. Includes plectrums. Premium Wooden durable built, Best tonal stability and bend resistance (Jamming Black).","2,639","Monday, August 1",https://www.amazon.in/Juarez-Arp%C3%A9ggio-Semi-Acoustic-Guitar-Spruce/dp/B08KHR4BJZ/ref=sr_1_125?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-125
30,Vault,Vault ST1 Premium Electric Guitar - Metallic Blue,"6,649","Tuesday, August 2",https://www.amazon.in/Cutaway-Acoustic-plectrums-stability-resistance/dp/B09YH8LP53/ref=sr_1_126?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-126
31,Yamaha,"Yamaha Electric-Acoustic Guitar FSX80C Dreadnought With With Mexa Sponge Bag, Guitar Belt, Guitar Stand, String Set & Plectrums.(NT)","3,599","Monday, August 1",https://www.amazon.in/Vault-String-Electric-Guitar-Metallic/dp/B08F2JDPWR/ref=sr_1_127?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-127
32,JUAREZ,"JUAREZ 96.52 cm (38 Inch) Acoustic Guitar with Dual Action Truss Rod, Bag, Picks, Allen Key, Extra String Set, 3TS Sunburst","7,219","Tuesday, August 2",https://www.amazon.in/Yamaha-Electric-Acoustic-FSX80C-Dreadnought-Plectrums/dp/B09HSJ6GPQ/ref=sr_1_128?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-128
33,Pack,Pack of 2 Universal Guitar Stand by Hola! Music Fits Acoustic Classical Electric Bass Guitars Mandolins Banjos Ukuleles and Other Stringed Instruments,"14,499","Sunday, July 31",https://www.amazon.in/JUAREZ-Acoustic-Guitar-3TS-Sunburst/dp/B08FV1KHTT/ref=sr_1_129?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-129
34,DEVICE,DEVICE OF URBAN INFOTECH Tuning Peg Silver for Acoustic Guitar Parts Tuners Keys Semi-closed Guitar String Tuning Pegs Tuner Machine Heads Knobs Tuning Keys for Acoustic & Electric Guitar 3R+3L(6 PCS),"3,169","Tuesday, August 2",https://www.amazon.in/Universal-Acoustic-Classical-Mandolins-Instruments/dp/B08XBRNC7T/ref=sr_1_130?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-130
35,HRB,"HRB MUSICALS® 50 Pcs Guitar String Tool Kit Including 3 Guitar Strings SET, 1 Guitar Tuner, 15 Picks, 1 black Capo with Pins remover, 1 pick holder, 12 Guitar pins, 1 guitar Cutter and 1 Winder",999,"Tuesday, August 2",https://www.amazon.in/DEVICE-URBAN-INFOTECH-Acoustic-Semi-closed/dp/B08P1JS4DF/ref=sr_1_131?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-131
36,4-string,"4-string acoustic guitar learning kids toy, brown 18-Multi color",499,"Monday, August 1",https://www.amazon.in/MUSICALS%C2%AE-Guitar-Including-Strings-remover/dp/B082Q6C28F/ref=sr_1_132?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-132
37,Medellin,"Medellin 40"" Sunburst Acoustic Guitar +(Free Online Learning Course) - Durable Matt finish with, strings, strap, bag, 3 Picks and truss rod adjustment.",899,"Sunday, July 31",https://www.amazon.in/4-string-acoustic-guitar-learning-18-Multi/dp/B09BW7CS1D/ref=sr_1_133?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-133
38,Cort,"Cort AD810 Dreadnought Acoustic Guitar with Gig Bag,Tuner,Picks and Strap (Natural Bundle)",749,"Monday, August 1",https://www.amazon.in/Medellin-Sunburst-Acoustic-Guitar-Learning/dp/B0B3XG4YJ4/ref=sr_1_134?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-134
39,Blueberry,"Blueberry 38C, 38"" Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Natural)","3,499","Monday, August 1",https://www.amazon.in/Cort-AD810-Dreadnought-Acoustic-Guitar/dp/B07KMBVR6V/ref=sr_1_135?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-135
40,Yamaha,Yamaha FS80C The Ultimate Concert Body Cutaway Acoustic Guitar (Natural) With Bajaao Gig- Bag,"11,248","Monday, August 1",https://www.amazon.in/Blueberry-38C-Acoustic-Strings-Natural/dp/B08KLNFL2Y/ref=sr_1_136?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-136
41,Gavison,"Gavison Natural Pinewood Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks","2,695","Sunday, July 31",https://www.amazon.in/FS80C-Ultimate-Acoustic-Bajaao-Bag/dp/B08WHXPWHV/ref=sr_1_137?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-137
42,Mustang,Mustang 46 PCS Guitar Strings Changing Kit Guitar Tool Kit Including Guitar Strings Guitar Tuner Picks Capo Pins Guitar String Cutter and Winder for Beginner,"9,490","Monday, August 1",https://www.amazon.in/Gavison-Natural-Pinewood-Acoustic-Strings/dp/B0B5X5LHKY/ref=sr_1_138?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-138
43,Fender,Fender SA-150C dreadnought Squier Guitar Cutway Natural,"3,750","Tuesday, August 2",https://www.amazon.in/Mustang-Strings-Changing-Including-Beginner/dp/B07S19LGLR/ref=sr_1_139?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-139
44,JUAREZ,"JUAREZ Arpeggio 41 Inch Acoustic Guitar Kit, Spruce Top, Rosewood Fretboard & Bridge, Truss Rod, Chrome Die Cast Machine Tuners, Blue",975,"Wednesday, August 3",https://www.amazon.in/Fender-SA-150C-dreadnought-Squier-Natural/dp/B07YX5N6LC/ref=sr_1_140?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-140
45,Epiphone,"Epiphone Les Paul Classic 6 String Right Handed Electric Guitar, Ebony","6,999","Monday, August 1",https://www.amazon.in/JUAREZ-Arpeggio-Acoustic-Rosewood-Fretboard/dp/B08LBGKR67/ref=sr_1_141?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-141
46,TNIU,TNIU Guitar Fretboard Stickers Colorful Fingerboard Sticker Note Decals for 6 String Acoustic Electric Guitars Beginners Practice Assistant Tool with 5pcs Guitar Picks,"6,039","Wednesday, August 3",https://www.amazon.in/Epiphone-Classic-String-Handed-Electric/dp/B085GCG3LN/ref=sr_1_142?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-142
47,JUAREZ,"JUAREZ Arpéggio 104.14 cm (41 Inch) Acoustic Guitar Kit, Spruce Top, Black","51,138","Monday, August 1",https://www.amazon.in/TNIU-Fretboard-Fingerboard-Beginners-Assistant/dp/B0B5LHDW46/ref=sr_1_143?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-143
48,INTERN,"INTERN 40 inches Acoustic Guitar with Pick-up & truss rod, carry bag, strings pack, strap & picks. Premium Wooden durable built, Best tonal stability with professional sound amplificaiton. (Sunburst).",292,"Monday, August 1",https://www.amazon.in/JUAREZ-Arp%C3%A9ggio-Acoustic-Guitar-Spruce/dp/B08KGCFXKP/ref=sr_1_144?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-144
49,GIVSON,"GIVSON Ketostics Venus Special Guitar (black) with bag, string set, belt and 5 picks","6,039","Thursday, August 11",https://www.amazon.in/Acoustic-stability-professional-amplificaiton-Sunburst/dp/B09YH8TVW7/ref=sr_1_145?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-145
50,Mustang,"Mustang Guitar Accessories Kit - Stand, Clip-on Tuner, Strap, Capo, 4 Assorted Picks, Holder - For Acoustic and Electric Instruments - Great Gift For Beginners and Advanced Players","4,499","Tuesday, August 16",https://www.amazon.in/Givson-Special-Guitar-VS-BLK-Acoustic/dp/B07SZ5KR61/ref=sr_1_146?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-146
51,Givson,"Givson Venus Special Cutaway Rosewood 41 Inch Acoustic Guitar Kit With Cover/Bag, String Set, Strap and 5 Plectrums (BLACK)","4,199","Tuesday, August 2",https://www.amazon.in/Mustang-Guitar-Accessories-Kit-Clip/dp/B07RY9KNVK/ref=sr_1_147?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-147
52,DEVICE,DEVICE OF URBAN INFOTECH 360 degree Rotational Electronic Highly Accurate Clip-on Digital Tuner Easy to Use for Acoustic and Electric Guitar Bass Violin Ukulele with Picks(Design May Vary),946,"Monday, August 1",https://www.amazon.in/Givson-Ketostics-Guitar-Acoustic-Plectrums/dp/B08KS5MRSC/ref=sr_1_148?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-148
53,Intern,"Intern INT-38C-L-SB Left Hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst)","4,199","Sunday, July 31",https://www.amazon.in/DEVICE-URBAN-INFOTECH-Rotational-Electronic/dp/B081LG3X5H/ref=sr_1_149?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-149
54,Pluto,Pluto HW41C-201 41-inch Cutaway Acoustic Guitar (Natural),399,"Monday, August 1",https://www.amazon.in/Intern-INT-38C-L-SB-Acoustic-Guitar-Sunburst/dp/B07J5B69MB/ref=sr_1_150?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-150
55,JUAREZ,"JUAREZ Fiésta 41 Inch Acoustic Guitar Cutaway with Dual Action Truss Rod, 21 Frets Rosewood Fretboard & Bridge, Padded 5mm Cotton Bag, Cotton Strap, 2 Picks, Allen Key, Extra String Set, 3TS Sunburst","2,690","Sunday, July 31",https://www.amazon.in/Pluto-HW41C201-HW41C-201-Acoustic-Guitar/dp/B014R94H1W/ref=sr_1_151?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-151
56,Blueberry,"Blueberry 38C, 38"" Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Natural)","6,593","Sunday, July 31",https://www.amazon.in/JUAREZ-Acoustic-Rosewood-Fretboard-3TS/dp/B08GZXNSBG/ref=sr_1_152?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-152
57,Mustang,Mustang 46 PCS Guitar Strings Changing Kit Guitar Tool Kit Including Guitar Strings Guitar Tuner Picks Capo Pins Guitar String Cutter and Winder for Beginner,"3,999","Tuesday, August 2",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A0049661OA1A59SHEFCK&url=%2FBlueberry-38C-Acoustic-Strings-Natural%2Fdp%2FB08KLNFL2Y%2Fref%3Dsr_1_153_sspa%3Fcrid%3D3QSC21Z4WT1KK%26keywords%3Dguitar%26qid%3D1658814139%26sprefix%3Dguitar%252Caps%252C475%26sr%3D8-153-spons%26psc%3D1&qualifier=1658814139&id=4265648412612096&widgetName=sp_btf
58,LUCHILA,LUCHILA 4 String Decor Guitar Children's Musical Instrument Educational Toy Small Guitar for Beginners Kids Child,"2,695","Tuesday, August 2",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A09341512CF1AS9X27ZR7&url=%2FMustang-Strings-Changing-Including-Beginner%2Fdp%2FB07S19LGLR%2Fref%3Dsr_1_154_sspa%3Fcrid%3D3QSC21Z4WT1KK%26keywords%3Dguitar%26qid%3D1658814139%26sprefix%3Dguitar%252Caps%252C475%26sr%3D8-154-spons%26psc%3D1&qualifier=1658814139&id=4265648412612096&widgetName=sp_btf
59,Blueberry,"Blueberry D38 TrussRod Acoustic Guitar Kit with Bag, String,Belt & Picks (Sunburst)",975,"Monday, August 1",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A03483003VMXNJV7LT25K&url=%2FLUCHILA-Childrens-Instrument-Educational-Beginners%2Fdp%2FB09T3Q72CJ%2Fref%3Dsr_1_155_sspa%3Fcrid%3D3QSC21Z4WT1KK%26keywords%3Dguitar%26qid%3D1658814139%26sprefix%3Dguitar%252Caps%252C475%26sr%3D8-155-spons%26psc%3D1&qualifier=1658814139&id=4265648412612096&widgetName=sp_btf
